title,description,price,pagecount,publisher,writer,artist,coverartist,productcode,upc,color,format
52 TP Vol 02,(W) Geoff Johns & Various (A) Joe Bennett & Various (CA) J. G. Jones The story of the DC Universe's most eventful year concludes in this final action-packed volume in the series featuring an epic war between the planet's super-powered beings. Discover the final fates of the stars of the series 52 #27-52!,20.29,616.0,DC,Geoff Johns,Joe Bennett,J. G. Jones,SEP160340,9781401265649,Full Color,Softcover
Absolute Sandman Vol 1 HC (MR),"THE SANDMAN, written by New York Times best-selling author Neil Gaiman, was the most acclaimed comic book title of the 1990s. A rich blend of modern myth and dark fantasy in which contemporary fiction, historical drama and legend are seamlessly interwoven, THE SANDMAN is also widely considered one of the most original and artistically ambitious series of the modern age. By the time it concluded in 1996, it had made significant contributions to the artistic maturity of comic books and become a pop culture phenomenon in its own right. Now, DC Comics is proud to present this comics classic in an all-new Absolute Edition format. The first of four beautifully designed slipcased volumes, THE ABSOLUTE SANDMAN VOL. 1 collects issues #1-20 of THE SANDMAN and features completely new coloring, approved by the author on the first 18 issues, as well as a host of never-before-seen extra material including the complete original Sandman proposal, a gallery of character designs from Gaiman and the artists who originated the look of the Sandman.",57.99,612.0,DC,Neil Gaiman,"Mike Dringenberg, Malcolm Jones Iii, Chris Bachalo, Michael Zulli, Steve Parkhouse, Kelley Jones, Charles Vess And Colleen Doran Sam Kieth",Dave Mckean,JUL108195,9781401210823,Color,Slipcased Hardcover
Absolute Preacher HC Vol 03 (MR),"(W) Garth Ennis (A) Steve Dillon, John McCrea (CA) Glenn Fabry In these tales from issues #41-66 and PREACHER SPECIAL: TALL IN THE SADDLE #1, Jesse Custer's dark journey to find God takes a detour as he becomes the sheriff of a troubled Texas town. Then, Custer decides it's high time to renew his quest to find God and hold Him accountable for his actions. As the series winds up, Jesse makes amends with Tulip, then seeks revenge against his former friend Cassidy for the things the Irish vampire did to her when they both believed the Preacher to be dead.",87.0,736.0,DC,Garth Ennis,Steve Dillon,Glenn Fabry,SEP170442,9781401278489,Color,Hardcover
Absolute Planetary HC,"(W) WARREN ELLIS (A) JOHN CASSADAY, PHIL JIMENEZ, JERRY ORDWAY, and ANDY LANNING The complete Planetary saga is collected in the Absolute format! In Warren Ellis and John Cassaday?s celebrated epic, the Archaeologists of the Unknown delve into secret places most beings fear to tread. Elijah Snow, Jakita Wagner, and the Drummer take on their nemeses, the Four...then death itself! This new Absolute edition includes the entire genre-bending Planetary series, plus three crossovers introducing the trio to Batman, the Authority, and the JLA. Collects Planetary #1-27, Planetary/Batman: Night On Earth #1, Planetary/The Authority: Ruling the World #1, Planetary/JLA: Terra Occulta #1, the preview story from Gen 13 #33, and a pinup from WildStorm: A Celebration of 25 Years.",87.0,,DC,Warren Ellis,"Phil Jimenez, Jerry Ordway, And Andy Lanning John Cassaday",Unknown,JUL207112,9781779509079,Full Color,Hardcover
Aquaman the Search for Mera Deluxe Ed HC,"(W) Steve Skeates (A) Jim Aparo (CA) Nick Cardy Writer Steve Skeates and artist Jim Aparo began their acclaimed Aquaman run with the epic tale of Mera's disappearance and Aquaman's quest to to get her back, now collected in this Deluxe Edition. While Aquaman desperately searches for his missing wife and queen, Mera, Atlantis plunges into the grips of a new enemy, a politician named Narkran, who plans to rule the underwater kingdom with an iron fist! Aquaman's quest takes him to depths high and low as he battles all who stand in his way, including his archnemesis Black Manta. Collects Aquaman #40-48 (1968).",20.29,,DC,Steve Skeates,Jim Aparo,Nick Cardy,AUG180586,9781401285227,Color,Hardcover
Aquaman TP Vol 01 the Drowning (Rebirth),"Aquaman, the King of Atlantis, has never found a true home in either of the worlds that he was born of. In these tales from AQUAMAN: REBIRTH #1 and issues #1-7 of the new series, the King of Atlantis attempts to broker a peace between Atlantis and the surface, but this noble quest might force Aquaman to choose whether to live his life above the waves, or below them. Plus, Black Manta makes his bloody return and seeks to destroy everything and everyone Aquaman loves!",9.85,176.0,DC,Dan Abnett,Scot Eaton,Brad Walker,OCT160290,9781401267827,Color,Softcover
Absolute Infinite Crisis HC,"(W) Geoff Johns (A) Phil Jimenez & Various (CA) Phil Jimenez This oversized, slipcased edition collect the entire INFINITE CRISIS series along with the initial series proposal, the script and art breakdowns for issue #1, and more!",57.99,336.0,DC,Geoff Johns,Phil Jimenez,Phil Jimenez,JUL160394,9781401265359,Full Color,Hardcover
Adventures of the Super Sons TP Vol 02 Little Monsters,"Locked in an intergalactic juvenile detention facility, Superboy and Robin meet the youngest-and meanest-Green Lantern ever! Well, sort of a GL. Mostly a GL. Really more of a trainee, but don't tell the bad guys, okay? Plus, Joker Jr. returns...the clown who may be the boys' last, best hope to stop the Gang! Collects ADVENTURES OF THE SUPER SONS #7-12.",9.85,161.0,DC,Peter J. Tomasi,Carlo Barberi,Dan Mora,AUG190643,9781401295073,Color,Softcover
Aquaman Sword of Atlantis TP Book 01,"It's 'One Year Later' after the events of Infinite Crisis, and Aquaman has totally changed! The new Aquaman begins the hunt for his missing father and fights a savage duel against an Atlantean warrior over his alliance with the much-feared King Shark. Also, the fate of Atlantis is revealed as Aquaman encounters a band of Atlanteans led by Mera! Who is the new savior of the seven seas and what happened to the original Aquaman? Collects AQUAMAN: SWORD OF ATLANTIS #40-49.",23.19,464.0,DC,Kurt Busiek,Jackson Guice,Carlos Pacheco,AUG190645,9781401287719,Color,Softcover
Aquaman the Waterbearer TP New Edition,"Banished from Atlantis and branded a traitor with every denizen of the deep programmed to deliver him a death sentence, Aquaman must cope with life after the Obsidian Age. It's Aquaman as you've never seen him before. Collects AQUAMAN #1-6 and AQUAMAN SECRET FILES #1.",11.59,,DC,Unknown,Unknown,Unknown,OCT170363,9781401275143,Color,Softcover
Aquaman Deadly Waters DLX Ed HC,"In this new Silver Age collection, Ocean Master returns with a dire warning as aliens transport Aquaman to another realm! With Atlantis now without its protector, Black Manta strikes! And when Aquaman returns, he soon realizes that he and Manta are both victims of a larger scheme! Collects Aquaman #49-56 for the first time in a new deluxe edition. ON SALE 08.05.20",23.19,208.0,DC,Unknown,Unknown,Unknown,JUN200538,9781779502940,Full Color,Hardcover
Anti Hero TP,"(W) Kate Karyus Quinn, Demitra Lunetta (A) Maca Gil Piper P?jaro and Sloane MacBrute are two 13-year-old girls with very different lives but very similar secrets. Popular, outgoing Piper is strong-like, ripping-the-doors-off-cars strong. She longs to be a superhero, even if she tends to leave massive messes in her wake. Sloane, on the other hand, is snarky and super-smart. Like, evil-genius smart. To help her family, she has to put those smarts to use for her villainous grandfather. When a mission to steal an experimental technological device brings the two girls face to face with each other, the device sparks-and the two girls switch bodies! Now they must live in each other's shoes as they figure out a way to switch back. Anti/Hero is a story that explores what makes a hero, how one can find friendship where it's unexpected, and what it means to walk in another person's shoes...literally! Authors Kate Karyus Quinn (Another Little Piece, The Show Must Go On) and Demitria Lunetta (The Fade, Bad Blood) make their graphic novel debut alongside artist Maca Gil and introduce two new an",5.79,160.0,DC,Kate Karyus Quinn,Maca Gil,Unknown,DEC190525,9781401293253,Fc,Softcover
Annotated Sandman HC Vol 04 (MR),"(W) Leslie S. Klinger, Neil Gaiman (A) Marc Hempel & Various (CA) Dave McKean In this final ANNOTATED SANDMAN volume, Leslie Klinger provides historical insights into THE SANDMAN #57-75, plus a story from VERTIGO JAM #1, appendices and more.",28.99,544.0,DC,Leslie S. Klinger,Marc Hempel,Dave Mckean,JUL150334,9781401243227,Full Color,Hardcover
Aquaman A Celebration of 75 Years HC,"(W) Jack E. Miller & Various (A) Paul Norris & Various (CA) Jim Lee, Scott Williams Celebrate more than seven decades of the ruler of the seas, king of Atlantis, and Justice League team member: Aquaman! Since his debut in 1941, Aquaman has defeated villains and saved the world on land and in the ocean, and this anthology collects his brightest and darkest moments in the definitive look at his history as a DC Comics Super Hero. Whether it's Orin or Arthur Curry, Aquaman is a beloved and timeless hero, and we're pleased to present this collection in honor of his 75th Anniversary.",23.19,400.0,DC,Jack E. Miller,Paul Norris,Jim Lee,JUN160329,9781401264468,Full Color,Hardcover
American Vampire TP Vol 03 (MR),"Collecting AMERICAN VAMPIRE #12-18 and SURVIVAL OF THE FITTEST #1-5! Pearl's husband Henry joins a clandestine group on a secret mission to Japan to hunt a new breed of bloodsucker, while Skinner Sweet has plans of his own! And in Europe, Felicia Book and Cash McCogan go behind enemy lines in Romania in search of a rumored vampire cure.",9.85,288.0,DC,Scott Snyder,Various Danijel Zezelj,Rafael Albuquerque,JUN120280,9781401233341,Color,Softcover
American Vampire TP Vol 02 (MR),"In this title collecting issues #6-11 of the hit series, it's Las Vegas circa 1935, and Skinner Sweet and our gal Pearl must learn the hard way that the bloodsuckers in Hollywood were nothing compared to the ones in Sin City.",10.43,160.0,DC,Scott Snyder,Mateus Santolouco Rafael Albuquerque,Rafael Albuquerque,FEB120289,9781401230708,Color,Softcover
American Vampire TP Vol 01 (MR),"Art and cover by This first volume of the critically acclaimed series collects issues #1-5 and follows two stories: one written by Scott Snyder and one written by Stephen King, both with art by superstar Rafael Albuquerque. Snyder's tale follows Pearl, a young woman living in 1920s Los Angeles, who is brutally turned into a vampire and sets out on a path of righteous revenge against the European monsters who tortured and abused her. And in King's story set in the days of America's Wild West, readers learn the origin of Skinner Sweet, the original American vampire - a stronger, faster creature than any vampire ever seen before.",11.59,200.0,DC,Stephen King Scott Snyder,Rafael Albuquerque,Rafael Albuquerque,JUL110284,9781401229740,Color,Softcover
Amazing World of Superman (Tabloid Edition) HC,"(W) Various (A) Various (CA) Curt Swan, Murphy Anderson The 1973 tabloid reprinting the origin of the Man of Steel is back in a new hardcover edition!This classic collection also includes the story of Lex Luthor?s sinister visit to the theme park called Superman Land, Superboy stories, plus features like a map of Krypton, ?How to Draw Superman,? ?Superman Family Portrait,? and more!Includes a giant map of Krypton, plus stories from Action Comics #210, Superman #170, Superman Annual #2 and #6, and more!",11.59,,DC,Various,Various,Murphy Anderson Curt Swan,SEP207098,9781779509185,Full Color,Hardcover
American Vampire TP Vol 07 (MR),"(W) Scott Snyder (A/CA) Rafael Albuquerque The first collection of AMERICAN VAMPIRE SECOND CYCLE features issues #1-5 of the new series! When we meet Pearl again, it is in 1960s Kansas, an era fraught with fear of nuclear war, angry demonstrations and vast social change. But what has changed in the years since the V.M.S. attack? And where is Skinner Sweet?",8.69,144.0,DC,Scott Snyder,Rafael Albuquerque,Rafael Albuquerque,AUG150288,9781401254322,Full Color,Softcover
Amethyst TP,"(W/A/CA) Amy Reeder Amy Winston?better known as Princess Amethyst?returns to her magical kingdom to celebrate her 16th birthday in style. The only problem? Her kingdom is missing, her subjects have vanished, and none in the realm of Gemworld?not even her best friend, Lady Turquoise?remain loyal to her house! Alone and dejected, Amy is forced to confront dark secrets and explore the farthest reaches of Gemworld in order to find clues. Follow Amethyst?s mystical tour through astonishing crystalized kingdoms and encounter extraordinary creatures as she solves the mystery of her ransacked realm. Collects Amethyst #1-6.",9.85,248.0,DC,Amy Reeder,Amy Reeder,Amy Reeder,NOV207082,9781779507471,Full Color,Softcover
All Star Batman TP Vol 01 My Own Worst Enemy (Rebirth),"(W) Scott Snyder (A) John Romita & Various (CA) John Romita, Danny Miki Scott Snyder, the #1 New York Times best-selling author of BATMAN, returns to the Dark Knight in ALL-STAR BATMAN! Batman finds himself trying to help his old friend Harvey Dent, a.k.a. the villainous Two-Face! The Dark Knight accompanies his sometime friend on a cross-country trip to fix his scarred face and end the Two-Face identity forever. But when the former Gotham City D.A. sets a plan into motion to free himself, what deadly secrets from the past will bubble to the surface? Collects issues #1-5.",9.85,176.0,DC,Scott Snyder,John Romita,John Romita,JUN170378,9781401274429,Full Color,Softcover
All Star Batman HC Vol 03 First Ally Rebirth,"(W) Scott Snyder & Various (A) Rafael Albuquerque, Sebastian Fiumara (CA) Rafael Albuquerque When the Dark Knight is taken down by a new enemy whose attacks he cannot counter, Batman uncovers a plot spanning generations...whose mastermind might be one of his closest allies! But who is the First Ally? And as painful secrets from the past are revealed, Batman must face down a nemesis unlike any he's seen before-or risk the horrific consequences of the Genesis Engine falling into the wrong hands! Collects issues #10-14!",14.49,176.0,DC,Scott Snyder,Rafael Albuquerque,Rafael Albuquerque,DEC170374,9781401277260,Color,Hardcover
All Star Batman and Robin the Boy Wonder Vol 1 TP,"The talked-about hit Batman story by modern master Frank Miller (BATMAN: YEAR ONE, THE DARK KNIGHT RETURNS) and artists extraordinaire Jim Lee & Scott Williams (BATMAN, SUPERMAN) is now available in softcover format! Lee and Miller join forces to tell a new version of Dick Grayson's origin in a high-octane tale that unfolds with guest appearances by Superman, Wonder Woman, Green Lantern, Black Canary and more! This volume collects issues #1-9 of the explosive series! Plus a Jim Lee sketchbook and a variant cover gallery.",11.59,240.0,DC,Frank Miller,Jim Lee,Jim Lee,MAR090174,9781401220082,Full Color,Softcover
Adventures of the Super Sons TP Vol 01 Action Detective,"(W) Peter J. Tomasi (A) Carlo Barberi, Art Thibert (CA) Jorge Jimenez In these stories from issues #1-6 of their new maxiseries, Robin and Superboy stand face to face with Rex Luthor, Joker Jr. and other psychos pulled right from your nightmares in an interstellar adventure featuring the Gang. The Gang has already robbed Superboy of his powers, and now they're ready to reveal their grand plan!",9.85,144.0,DC,Peter J. Tomasi,Carlo Barberi,Jorge Jimenez,JAN190650,9781401290580,Color,Softcover
Adventures of Superman By George Perez HC,"The 1980s Superman stories by celebrated writer and artist George P?rez are collected in a new hardcover volume! These tales include a face-off with Brainiac, a team-up with O.M.A.C., the start of Superman's New 52 adventures, and much more. Collects DC Comics Presents #61, Action Comics #643-652 and Annual #2, and Superman #1-6 (2011 series).",28.99,448.0,DC,Unknown,Unknown,Unknown,FEB200544,9781779500120,Color,Hardcover
Adam Strange the Silver Age Omnibus HC Vol 01,"(W) Gardner Fox & Various (A) Mike Sekowsky & Various (CA) Michael Cho The Silver Age adventures of Adam Strange are collected in one giant omnibus! After being mysteriously teleported to the distant world of Rann, Adam Strange's life changed forever as he went from being an archaeologist to a cosmic hero. In these stories, Adam and his new ally, Alanna, defend Rann against alien invaders, giant monsters, mad scientists, out-of-control robots and more! This new title collects SHOWCASE #17-19 and 101-103, MYSTERY IN SPACE #53-100 and 102, STRANGE ADVENTURES #157, 222, 226, HAWKMAN #18-19 and WORLD'S FINEST COMICS #262-263.",57.99,944.0,DC,Gardner Fox,Mike Sekowsky,Michael Cho,FEB170299,9781401272951,Color,Hardcover
Adventures of Supergirl TP,"(W) Sterling Gates (A) Bengal & Various (CA) Cat Staggs In this collection of the six-issue digital-first miniseries based on the hit CBS TV show, Kara Zor-El's fledgling efforts are targeted at criminals who escaped when Fort Rozz crashed, but she keeps hearing rumors of a shadowy mastermind sending the escapees after her! Supergirl is learning a lot about her super-abilities, her strengths as a friend and as a sister, her love of being human and alien at the same time. And she'll need to pull it all together to defeat her most dangerous foe to date!",9.85,144.0,DC,Sterling Gates,Bengal,Cat Staggs,JUN160349,9781401262655,Full Color,Softcover
Aquaman and the Others TP Vol 02 Alignment Earth (N52),"(W) Dan Jurgens (A) Lan Medina, Allen Martinez (CA) Ivan Reis When the secrets of their pasts are used against them, can the Others keep their tenuous union intact? In facing deadly villains like the KGBeast, the King of Atlantis and his allies may not live to ask that question! Collects issues #6-11, plus AQUAMAN: FUTURES END #1 and AQUAMAN AND THE OTHERS: FUTURES END #1.",9.85,176.0,DC,Dan Jurgens,Lan Medina,Ivan Reis,MAR150265,9781401253318,Full Color,Softcover
Absolute Y the Last Man HC Vol 01 (MR),"(W) Brian K. Vaughan (A) Pia Guerra & Various (CA) J. G. Jones This is the saga of Yorick Brown, the only survivor of a plague that kills every mammal with a Y chromosome. Accompanied by his pet monkey, Ampersand, a mysterious government agent and a brilliant young geneticist, Yorick travels the world in search of his lost love and the answer to why he's the last man on earth.",72.5,,DC,Brian K. Vaughan,Pia Guerra,J. G. Jones,DEC140420,9781401254292,Unknown,Unknown
Aquaman TP Vol 07 Exiled,"(W) Cullen Bunn (A) Trevor McCarthy, Vicente Cifuentes (CA) Trevor McCarthy Everything Aquaman knew begins to crumble around him as he becomes a fugitive from his own city! Don't miss these tales from AQUAMAN #41-48, plus the sneak peek story from CONVERGENCE: SUICIDE SQUAD #2!",9.85,192.0,DC,Cullen Bunn,Trevor Mccarthy,Trevor Mccarthy,JUL160395,9781401264741,Full Color,Softcover
Aquaman TP Vol 06 Maelstrom,"(W) Jeff Parker (A/CA) Paul Pelletier, Sean Parsons The Chimera has arrived to destroy the King of the Seven Seas, and Arthur may not be able to stop him! And with threat after threat demanding his attention, it's fallen to Mera to hold Atlantis together. The conspirators hiding in the city's shadows can't hide forever-but can Mera get to them before Atlantis crumbles? Find out in these tales from AQUAMAN #32-40 and stories from SECRET ORIGINS #2 and 5!",11.59,240.0,DC,Jeff Parker,Paul Pelletier,Paul Pelletier,DEC150329,9781401260965,Full Color,Softcover
Aquaman TP Vol 05 Sea of Storms,"(W) Jeff Parker (A/CA) Paul Pelletier, Sean Parsons 'Sea of Storms' is collected from AQUAMAN #26-32 and ANNUAL #2! Aquaman faces a forgotten Atlantean legend: the Karaqan! A massive crustacean of incredible power, the Karaqan once served the King of Atlantis but now poses one of his greatest threats. And when Aquaman's trident is stolen, a host of ancient evils is freed from a mysterious portal along with the Greek demigod Hercules!",9.85,,DC,Jeff Parker,Paul Pelletier,Paul Pelletier,APR150283,9781401254407,Unknown,Unknown
Aquaman TP Vol 04 Underworld (Rebirth),"Enraged by rumors of Arthur's survival in the slums of Atlantis, the ruthless King Rath orders the use of ancient Atlantean techno-magic to track down the Aquaman at all costs! But the ex-king Arthur can't hide for long when his fate collides with that of a mysterious young woman on the run from Rath's own secret police. Her name: Dolphin. Collects AQUAMAN #25-30.",9.85,,DC,Unknown,Unknown,Unknown,OCT170357,9781401275426,Color,Softcover
Aquaman TP Vol 03 Throne of Atlantis (N52),"Aquaman, who long ago lost contact with his people, must watch as armies emerge from the sea to attack the surface world. The Justice League answers the call to defend the shores from the invading Atlantean horde. But whose side is Aquaman on? With his brother Orm at the head of the undersea army, will Aquaman stand with his Earth-bound super team or his own people? Find out in this exciting title collecting AQUAMAN #0 and 14-16 and JUSTICE LEAGUE #15-17.",9.85,192.0,DC,Geoff Johns,Various Ivan Reis,Joe Prado Ivan Reis,FEB140252,9781401246952,Color,Softcover
Batman & Robin TP Vol 01 Born to Kill (N52),The first eight issues of the hit DC COMICS - THE NEW 52 series is collected for the first time in trade paperback! Batman and Damian - the new Robin - are driven apart by the insidious Nobody!,9.85,192.0,DC,Peter J. Tomasi,Mick Gray Patrick Gleason,Patrick Gleason,MAR130270,9781401238384,Color,Softcover
Aquaman TP Vol 04 Death of A King (N52),"(W) Geoff Johns (A) Paul Pelletier & Various (CA) Paul Pelletier Unfolding from 'Throne of Atlantis' comes a murder mystery that sends Aquaman to the ends of the Earth to reveal a reveal a threat to those closest to him! Plus, Aquaman enlists The Others to help find a missing relic in the Southwestern United States before his enemies can get to it and possess untold power. Collecting AQUAMAN #17-19 and 21-25.",9.85,200.0,DC,Geoff Johns,Paul Pelletier,Paul Pelletier,AUG140327,9781401249953,Color,Softcover
Batman & Robin TP Vol 07 Robin Rises,"(W) Peter J. Tomasi (A) Patrick Gleason & Various (CA) Patrick Gleason After Damian's body is stolen by alien hordes, Batman must face down Darkseid himself to recover his son's body! Collects issues #35-40, ROBIN RISES: ALPHA #1, ANNUAL #3, BATMAN AND ROBIN: FUTURES END #1 and a story from SECRET ORIGINS #4.",11.59,240.0,DC,Peter J. Tomasi,Patrick Gleason,Patrick Gleason,FEB160226,9781401261146,Full Color,Softcover
Batman & Robin TP Vol 05 the Big Burn (N52),(W) Peter J. Tomasi (A) Patrick Gleason & Various (CA) Patrick Gleason The origin of Two-Face begins as Batman finds himself in the crossfire of a war between Two-Face and mobster Erin McKillen! Don't miss these explosive tales from BATMAN AND TWO-FACE #24-28 and BATMAN AND ROBIN ANNUAL #2.,9.85,176.0,DC,Peter J. Tomasi,Patrick Gleason,Patrick Gleason,MAR150266,9781401253332,Full Color,Softcover
Batman & Robin TP Vol 03 Death of the Family (N52),"In the stories from BATMAN AND ROBIN #15-17, BATMAN #17 and BATMAN AND ROBIN ANNUAL #1, Damian battles The Joker-with catastrophic results! What secrets will be revealed?",8.69,160.0,DC,Peter J. Tomasi,Mick Gray Patrick Gleason,Mick Gray Patrick Gleason,MAR140250,9781401246174,Color,Softcover
Batman & the Justice League Manga TP Vol 02,"(W/A/CA) Shiori Teshirogi In the second serving of manga adventures by writer/artist Shiori Teshirogi, Lex Luthor and The Joker have a new ally in their plan to take control of Earth's mystical ley lines-Aquaman's half-brother Orm, a.k.a. Ocean Master. Manipulated by The Joker and seduced by the potential power of the lines, Ocean Master hopes to crush the surface world and establish the supremacy of Atlantis. Aquaman's determined to stop him, but it's going to take the combined power of the Justice League to keep Orm in check, especially when he summons a tidal wave to engulf Gotham City. Meanwhile, young Rui is learning that his mother-who has been held prisoner by The Joker for the last year-now possesses great powers that may either save the world or destroy it.",7.53,208.0,DC,Shiori Teshirogi,Shiori Teshirogi,Shiori Teshirogi,JAN190538,9781401290597,Black & White,Softcover
Batman & the Justice League Manga TP Vol 01,"(W/A/CA) Shiori Teshirogi From mangaka Shiori Teshirogi (Saint Seiya: The Lost Canvas) comes a new series starring Batman and the Justice League. Currently being serialized in the monthly Japanese anthology Red, the story focuses on a young boy who comes to Gotham City from Japan. He's trying to solve the mystery of what happened to his scientist parents after their disappearance following a factory explosion a year earlier. As it turns out, the factory was owned by Lex Luthor, who has now teamed with The Joker. Together, they plan on using the research of the boy's parents to tap into a mystical, all-powerful, worldwide energy source. But for what purpose? It's a bigger challenge than Batman can handle on his own, so he's going to need some help from the League. This series will be published in the original manga right-to-left format.",7.53,,DC,Shiori Teshirogi,Shiori Teshirogi,Shiori Teshirogi,JUN180436,9781401284695,Black & White,Softcover
